Brand,Model,Year,Title,BodyType,Doors,Seats,Kilometres,FuelType,Transmission,DriveType,Cylinders,EngineLiters,Fuel100KM,UsedOrNew,Color,City,State,Price
Ssangyong,Rexton,2022,2022 Ssangyong Rexton Ultimate (awd),SUV,4,7,5595.0,Diesel,Automatic,AWD,4.0,2.2,8.7,DEMO,White,Caringbah,NSW,51990.0
MG,MG3,2022,2022 MG MG3 Auto Excite (with Navigation),Hatchback,5,5,16.0,Premium,Automatic,Front,4.0,1.5,6.7,USED,Black,Brookvale,NSW,19990.0
BMW,430I,2022,2022 BMW 430I M Sport,Coupe,2,4,8472.0,Premium,Automatic,Rear,4.0,2.0,6.6,USED,Grey,Sylvania,NSW,108988.0
Land,Rover,2017,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,SUV,2,4,67662.0,Diesel,Automatic,AWD,4.0,2.0,5.1,USED,White,Blacktown,NSW,62280.0
Toyota,86,2013,2013 Toyota 86 GT,Coupe,2,4,82012.0,Premium,Automatic,Rear,4.0,2.0,7.1,USED,Black,Mcgraths Hill,NSW,24888.0
Honda,Jazz,2014,2014 Honda Jazz Hybrid,Hatchback,5,5,38229.0,Hybrid,Automatic,Front,4.0,1.3,4.5,USED,Blue,Lidcombe,NSW,17900.0
Toyota,HiAce,2018,2018 Toyota HiAce LWB,Commercial,4,2,16324.0,Unleaded,Automatic,Rear,4.0,2.7,9.8,USED,White,Lidcombe,NSW,41999.0
Volkswagen,Golf,2012,2012 Volkswagen Golf 90 TSI Trendline,Hatchback,5,5,55676.0,Premium,Automatic,Front,4.0,1.4,6.2,USED,White,Five Dock,NSW,14999.0
BMW,X3,2014,2014 BMW X3 Xdrive 20D,SUV,4,5,82624.0,Diesel,Automatic,4WD,4.0,2.0,5.6,USED,Black,Haberfield,NSW,24985.0
BMW,118D,2011,2011 BMW 118D,Hatchback,5,5,95204.0,Diesel,Automatic,Rear,4.0,2.0,5.4,USED,Silver,Five Dock,NSW,13999.0
