Year,Kilometres,Cylinders,EngineLiters,Fuel100KM,FuelType_Diesel,FuelType_Hybrid,FuelType_LPG,FuelType_Premium,FuelType_Unleaded,Transmission_Automatic,Transmission_Manual,DriveType_AWD,DriveType_Front,DriveType_Other,DriveType_Rear
2010,0.8563559014679756,4.0,2.5,8.4,0,0,0,1,0,1,0,1,0,0,0
2022,0.0159311156122426,4.0,1.2,6.4,0,0,0,1,0,1,0,0,1,0,0
2022,0.190788950169475,4.0,2.5,7.5,0,0,0,0,1,1,0,1,0,0,0
2021,0.1668450104608971,6.0,3.3,10.2,0,0,0,0,1,1,0,0,0,0,1
2020,0.5074785442498847,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2013,0.7786660817371971,4.0,1.6,7.9,0,0,0,0,1,1,0,0,1,0,0
2020,0.3684605243661962,4.0,1.4,5.4,0,0,0,0,1,1,0,0,1,0,0
2019,0.5367716445186109,4.0,1.6,6.8,0,0,0,0,1,1,0,0,1,0,0
2018,0.5432070431296528,4.0,1.2,5.5,0,0,0,1,0,1,0,0,1,0,0
2020,0.4876158066111811,4.0,2.0,8.3,1,0,0,0,0,1,0,0,0,0,0
2019,0.5571895628926757,4.0,2.0,7.1,0,0,0,0,1,1,0,1,0,0,0
2018,0.4345024296019392,4.0,2.5,7.5,0,0,0,0,1,1,0,1,0,0,0
2019,0.658469174173995,4.0,2.0,5.3,1,0,0,0,0,1,0,0,1,0,0
2020,0.3249615285599909,4.0,2.0,6.5,0,0,0,0,1,1,0,0,1,0,0
2023,0.00203057290294,4.0,2.5,7.5,0,0,0,0,1,1,0,0,1,0,0
2020,0.4370912661187153,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2022,0.2353817744026249,4.0,1.5,6.4,0,0,0,0,1,0,1,0,0,0,0
2021,0.4661776860641999,4.0,2.3,7.9,1,0,0,0,0,1,0,0,0,0,0
2005,0.8074317502553185,4.0,2.5,9.5,0,0,0,0,1,0,1,0,0,0,0
2013,0.5038064359474163,4.0,2.0,7.1,0,0,0,1,0,1,0,0,0,0,1
2019,0.4464360850921153,4.0,2.0,7.4,0,0,0,0,1,1,0,0,0,0,0
2020,0.4250971703256077,4.0,2.0,8.6,0,0,0,1,0,1,0,1,0,0,0
2012,0.9425126588802176,6.0,3.5,10.9,0,0,0,0,1,1,0,0,1,0,0
2015,0.6043118025698124,4.0,1.4,6.2,0,0,0,0,1,1,0,0,1,0,0
2011,0.8063662727387708,6.0,2.7,8.2,1,0,0,0,0,1,0,0,0,0,1
2015,0.5446627354512189,4.0,2.5,10.4,0,0,0,1,0,0,1,1,0,0,0
2014,0.6171402469069098,8.0,5.5,11.8,0,0,0,1,0,1,0,1,0,0,0
2015,0.5605105991976317,6.0,3.6,10.4,0,0,0,1,0,1,0,0,0,0,0
2017,0.7619515019248249,5.0,3.2,8.9,1,0,0,0,0,1,0,0,0,0,0
2017,0.689286168646448,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2017,0.2405809273237222,4.0,1.6,5.6,0,0,0,1,0,1,0,0,1,0,0
